game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
2caf0db3-12e5-43ff-9196-a8df701f12a0,31,Live Chess,Chess.com,2024.03.21,-,abhute23,Guiguilafamille,1-0,1557,,1517,,,,abhute23,1557,Guiguilafamille,1517,40,,abhute23 won on time,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
e8b965df-ae5d-47a7-9faf-e93ed08eac50,32,Live Chess,Chess.com,2024.03.21,-,abhute23,RabbitMQQ,0-1,1550,,1613,,,,RabbitMQQ,1613,abhute23,1550,63,,RabbitMQQ won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
b0abe76a-9347-468f-8134-2e4196320e7a,33,Live Chess,Chess.com,2024.03.21,-,Asiftza,abhute23,1-0,1600,,1543,,,,Asiftza,1600,abhute23,1543,57,,Asiftza won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
56764a52-6bd7-4f58-a8cb-de5d2f591766,34,Live Chess,Chess.com,2024.03.21,-,abhute23,zawzaw5,0-1,1536,,1589,,,,zawzaw5,1589,abhute23,1536,53,,zawzaw5 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
859f2df1-b2c9-4204-98bf-82f96e1be4e0,35,Live Chess,Chess.com,2024.03.21,-,abhute23,DIVYANSH0016,0-1,1529,,1570,,,,DIVYANSH0016,1570,abhute23,1529,41,,DIVYANSH0016 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
cce1025a-fa20-49d8-b2f4-c6c6d2400c32,36,Live Chess,Chess.com,2024.03.21,-,hilandur58,abhute23,0-1,1556,,1538,,,,abhute23,1538,hilandur58,1556,-18,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
4c0f6aa2-f70f-4077-b87c-290bdc14f54f,37,Live Chess,Chess.com,2024.03.21,-,MadManiactt,abhute23,0-1,1549,,1546,,,,abhute23,1546,MadManiactt,1549,-3,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
8376a182-2356-4814-b52b-6cb0bc0dcc99,38,Live Chess,Chess.com,2024.03.21,-,abhute23,curiza,0-1,1536,,1483,,,,curiza,1483,abhute23,1536,-53,,curiza won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
c063ed3b-a4fc-4762-885f-dacfb7dda957,39,Live Chess,Chess.com,2024.03.21,-,abhute23,ellioth2,0-1,1530,,1613,,,,ellioth2,1613,abhute23,1530,83,,ellioth2 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
0bef1ce7-5596-4309-bc96-0d39f7220642,40,Live Chess,Chess.com,2024.03.22,-,JARS79,abhute23,1-0,1484,,1521,,,,JARS79,1484,abhute23,1521,-37,,JARS79 won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
